
,配置座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　2010/03/30 Koji Nishino,

,,小さいサイズエリア,
,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,,0,
,,,1,
,,,2,
,,,3,
,,,4,
,,,5,
,,,6,
,,,7,
,,,8,
,,,9,
,,,10,
,,,11,
,,,12,,,,,,,,,,,,8,,,12,,,10,,,6,
,,,13,
,,,14,,,,,,,,,20,,,,,,,,,,,,,,,18,
,,,15,,,,,,,,,,,,16,,,4,,,2,,,14,
,,,16,
,,,17,
,,,18,,,,,,,,,,,,13,,,1,,,3,,,15,
,,,19,,,,,,,,,17,,,,,,,,,,,,,,,19,
,,,20,
,,,21,,,,,,,,,,,,5,,,9,,,11,,,7,
,,,22,
,,,23,
,,,24,
,,,25,
,,,26,
,,,27,
,,,28,
,,,29,
,,,30,
,,,31,

,,大きいサイズエリア,
,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,,0,
,,,1,
,,,2,
,,,3,
,,,4,
,,,5,
,,,6,
,,,7,
,,,8,
,,,9,
,,,10,
,,,11,
,,,12,,,,,,,,,,,,,,4,
,,,13,,,,,,,,,,,,,,,,,,,2,
,,,14,,,,,,,,,,8,,,,,,,,,,,,,6,
,,,15,,,,,,,,,,,,,,10,
,,,16,
,,,17,
,,,18,,,,,,,,,,,,,,,,,,,9,
,,,19,,,,,,,,,,5,,,,,,,,,,,,,7,
,,,20,,,,,,,,,,,,,,1,
,,,21,,,,,,,,,,,,,,,,,,,3,
,,,22,
,,,23,
,,,24,
,,,25,
,,,26,
,,,27,
,,,28,
,,,29,
,,,30,
,,,31,

,,森の奥,
,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,,0,
,,,1,
,,,2,
,,,3,
,,,4,
,,,5,
,,,6,
,,,7,
,,,8,
,,,9,
,,,10,
,,,11,
,,,12,,,,,,,,,,,,8,,,4,,,2,,,6,
,,,13,
,,,14,,,,,,,,,9,,,,,,,,,,,,,,,10,
,,,15,,,,,,,,,,,,8,,,4,,,2,,,6,
,,,16,
,,,17,
,,,18,,,,,,,,,,,,5,,,1,,,3,,,7,
,,,19,,,,,,,,,9,,,,,,,,,,,,,,,10,
,,,20,
,,,21,,,,,,,,,,,,5,,,1,,,3,,,7,
,,,22,
,,,23,
,,,24,
,,,25,
,,,26,
,,,27,
,,,28,
,,,29,
,,,30,
,,,31,


,,,,,６４×６４サイズポケモン,,,,,,,,,,,３２×３２サイズポケモン,

,,,,※枠内の&#x2116;が配置の順番になります。,
