1,,フシギダネ,フシギダネ,45,49,49,45,65,65,草,毒,－,－,しんりょく,－,64,45,3,31,1,7,20,5,70,1,たいあたり,3,なきごえ,7,やどりぎのタネ,9,つるのムチ,13,どくのこな,13,ねむりごな,15,とっしん,19,はっぱカッター,21,あまいかおり,25,せいちょう,27,すてみタックル,31,なやみのタネ,33,こうごうせい,37,タネばくだん,－,－,－,－,－,－,－,－,－,－,－,－,,16,レベルアップ,フシギソウ,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,0,1,0,PMDP_001,,,,,,●,,,●,●,●,,,,,,●,,●,,●,●,,,,,●,,,,,●,,,,●,,,,,,●,●,●,●,,,,,,,,●,,,,,●,,,,,,,,,,,,●,,,,,●,,,●,,,,●,●,,,●,●,,,●,,,●,,,●,,●,,,0,,,緑
2,,フシギソウ,フシギソウ,60,62,63,60,80,80,草,毒,－,－,しんりょく,－,141,45,3,31,1,7,20,5,70,1,たいあたり,1,なきごえ,1,やどりぎのタネ,3,なきごえ,7,やどりぎのタネ,9,つるのムチ,13,どくのこな,13,ねむりごな,15,とっしん,20,はっぱカッター,23,あまいかおり,28,せいちょう,31,すてみタックル,36,なやみのタネ,39,こうごうせい,44,ソーラービーム,－,－,－,－,－,－,－,－,,32,レベルアップ,フシギバナ,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,0,1,1,PMDP_002,,,,,,●,,,●,●,●,,,,,,●,,●,,●,●,,,,,●,,,,,●,,,,●,,,,,,●,●,●,●,,,,,,,,●,,,,,●,,,,,,,,,,,,●,,,,,●,,,●,,,,●,●,,,●,●,,,●,,,●,,,●,,●,,,0,,,緑
3,,フシギバナ,フシギバナ,80,82,83,80,100,100,草,毒,－,－,しんりょく,－,208,45,3,31,1,7,20,5,70,1,たいあたり,1,なきごえ,1,やどりぎのタネ,1,つるのムチ,3,なきごえ,7,やどりぎのタネ,9,つるのムチ,13,どくのこな,13,ねむりごな,15,とっしん,20,はっぱカッター,23,あまいかおり,28,せいちょう,31,すてみタックル,32,はなびらのまい,39,なやみのタネ,45,こうごうせい,53,ソーラービーム,－,－,－,－,,,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,0,2,1,PMDP_003,,,,,●,●,,,●,●,●,,,,●,,●,,●,,●,●,,,,●,●,,,,,●,,,,●,,,,,,●,●,●,●,,,,,,,,●,,,,,●,,,,,,,,,,●,,●,,,,,●,,,●,,,,●,●,,,●,●,,,●,,,●,,,●,,●,,●,0,,,緑
4,,ヒトカゲ,ヒトカゲ,39,52,43,65,60,50,炎,炎,－,－,もうか,－,65,45,3,31,1,14,20,5,70,1,ひっかく,1,なきごえ,7,ひのこ,10,えんまく,16,りゅうのいかり,19,こわいかお,25,ほのおのキバ,28,きりさく,34,かえんほうしゃ,37,ほのおのうず,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,,16,レベルアップ,リザード,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,1,0,0,PMDP_004,●,●,,,,●,,,,●,●,,,,,,●,,,,●,,●,,,,●,●,,,●,●,,,●,,,●,●,●,,●,●,●,●,,,,,●,,,,,,●,,●,,,●,,,,●,,,,,,,,,,●,,,●,,●,,●,●,,,,●,,,●,,,●,,,●,,●,,,0,,,赤
5,,リザード,リザード,58,64,58,80,80,65,炎,炎,－,－,もうか,－,142,45,3,31,1,14,20,5,70,1,ひっかく,1,なきごえ,1,ひのこ,7,ひのこ,10,えんまく,17,りゅうのいかり,21,こわいかお,28,ほのおのキバ,32,きりさく,39,かえんほうしゃ,43,ほのおのうず,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,,36,レベルアップ,リザードン,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,1,1,0,PMDP_005,●,●,,,,●,,,,●,●,,,,,,●,,,,●,,●,,,,●,●,,,●,●,,,●,,,●,●,●,,●,●,●,●,,,,,●,,,,,,●,,●,,,●,,,,●,,,,,,,,,,●,,,●,,●,,●,●,,,,●,,,●,,,●,,,●,,●,,,0,,,赤
6,,リザードン,リザードン,78,84,78,100,109,85,炎,飛行,－,－,もうか,－,209,45,3,31,1,14,20,5,70,1,ドラゴンクロー,1,シャドークロー,1,エアスラッシュ,1,ひっかく,1,なきごえ,1,ひのこ,1,えんまく,7,ひのこ,10,えんまく,17,りゅうのいかり,21,こわいかお,28,ほのおのキバ,32,きりさく,36,つばさでうつ,42,かえんほうしゃ,49,ほのおのうず,59,ねっぷう,66,フレアドライブ,－,－,－,－,,,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,0,3,0,PMDP_006,●,●,,,●,●,,,,●,●,,,,●,,●,,,,●,●,●,,,●,●,●,,,●,●,,,●,,,●,●,●,,●,●,●,●,,●,,,●,●,●,,,,●,,●,●,,●,,,,●,,,●,,,,,,,●,,,●,,●,,●,●,,,,●,,,●,,,●,●,,●,●,●,,,0,,,赤
7,,ゼニガメ,ゼニガメ,44,48,65,43,50,64,水,水,－,－,げきりゅう,－,66,45,3,31,1,2,20,5,70,1,たいあたり,4,しっぽをふる,7,あわ,10,からにこもる,13,みずでっぽう,16,かみつく,19,こうそくスピン,22,まもる,25,みずのはどう,28,アクアテール,31,ロケットずつき,34,てっぺき,37,あまごい,40,ハイドロポンプ,－,－,－,－,－,－,－,－,－,－,－,－,,16,レベルアップ,カメール,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,1,0,0,0,PMDP_007,●,,●,,,●,●,,,●,,,●,●,,,●,●,,,●,,●,,,,●,●,,,●,●,,,,,,,●,,,●,●,●,●,,,,,,,,,,●,●,,●,,,,,,,,,,,,,,,,●,,,,●,,,,●,●,,,,●,,,●,,,,,●,●,,●,●,,0,,,青
8,,カメール,カメール,59,63,80,58,65,80,水,水,－,－,げきりゅう,－,143,45,3,31,1,2,20,5,70,1,たいあたり,1,しっぽをふる,1,あわ,4,しっぽをふる,7,あわ,10,からにこもる,13,みずでっぽう,16,かみつく,20,こうそくスピン,24,まもる,28,みずのはどう,32,アクアテール,36,ロケットずつき,40,てっぺき,44,あまごい,48,ハイドロポンプ,－,－,－,－,－,－,－,－,,36,レベルアップ,カメックス,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,1,0,0,1,PMDP_008,●,,●,,,●,●,,,●,,,●,●,,,●,●,,,●,,●,,,,●,●,,,●,●,,,,,,,●,,,●,●,●,●,,,,,,,,,,●,●,,●,,,,,,,,,,,,,,,,●,,,,●,,,,●,●,,,,●,,,●,,,,,●,●,,●,●,,0,,,青
9,,カメックス,カメックス,79,83,100,78,85,105,水,水,－,－,げきりゅう,－,210,45,3,31,1,2,20,5,70,1,ラスターカノン,1,たいあたり,1,しっぽをふる,1,あわ,1,からにこもる,4,しっぽをふる,7,あわ,10,からにこもる,13,みずでっぽう,16,かみつく,20,こうそくスピン,24,まもる,28,みずのはどう,32,アクアテール,39,ロケットずつき,46,てっぺき,53,あまごい,60,ハイドロポンプ,－,－,－,－,,,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,0,0,3,PMDP_009,●,,●,,●,●,●,,,●,,,●,●,●,,●,●,,,●,,●,,,●,●,●,,,●,●,,,,,,,●,,,●,●,●,●,,,,,,,●,,,●,●,,●,,,,,,,,,,●,,,,●,,●,,,,●,,●,,●,●,,,,●,,,●,●,,,,●,●,,●,●,●,0,,,青
10,,キャタピー,キャタピー,45,30,35,45,20,20,虫,虫,－,－,りんぷん,－,53,255,0,127,3,3,15,5,70,1,たいあたり,1,いとをはく,15,むしくい,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,,7,レベルアップ,トランセル,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,1,0,0,0,0,0,PMDP_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,緑
11,,トランセル,トランセル,50,20,55,30,25,25,虫,虫,－,－,だっぴ,－,72,120,0,127,3,3,15,5,70,1,かたくなる,7,かたくなる,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,,10,レベルアップ,バタフリー,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,2,0,0,0,PMDP_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,緑
12,,バタフリー,バタフリー,60,45,50,70,80,80,虫,飛行,－,ぎんのこな,ふくがん,－,160,45,0,127,3,3,15,5,70,1,ねんりき,10,ねんりき,12,どくのこな,12,しびれごな,12,ねむりごな,16,かぜおこし,18,ちょうおんぱ,22,ふきとばし,24,サイケこうせん,28,ぎんいろのかぜ,30,おいかぜ,34,しんぴのまもり,36,ゆうわく,40,むしのさざめき,－,－,－,－,－,－,－,－,－,－,－,－,,,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,0,0,0,2,1,PMDP_012,,,,,,●,,,,●,●,,,,●,,●,●,●,●,●,●,,,,,●,,●,●,,●,,,,,,,,●,,●,●,●,●,●,,●,,,●,,●,,,,,●,,,,●,,,,,,●,,●,,,,,,,●,●,,,,●,●,,●,,●,,●,●,,,,,,,●,,,,0,,,白
