はたく	こうげき！	ながい　しっぽや　てなどを　つかって	あいてを　はたいて　こうげきする。		長い　しっぽや　手などを　使って	相手を　はたいて　攻撃する。		ノーマル	シンプルダメージ	物理	40	100	35	0				0				0		000　普通攻撃			[選択]　通常ポケ										1	0	0	1	0	0	1	0	0	0	0	0	0	0
からてチョップ	！	するどい　チョップで	あいてを　たたいて　こうげきする。　	きゅうしょに　あたりやすい。	鋭い　チョップで	相手を　たたいて　攻撃する。　	急所に　当たりやすい。	格闘	シンプルダメージ	物理	50	100	25	0				0				1		043　クリティカルヒットが出やすい　			[選択]　通常ポケ										1	0	0	1	0	0	1							
おうふくビンタ	！	おうふく　ビンタで	あいてを　たたいて　こうげきする。	２ー５かいの　あいだ　れんぞくで　だす。	おうふく　ビンタで	相手を　たたいて　攻撃する。	２ー５回の　あいだ　連続で　だす。	ノーマル	シンプルダメージ	物理	15	85	10	0	5	2		0						029　２～５回連続で攻撃する			[選択]　通常ポケ										1	0	0	1	0	0	1							
れんぞくパンチ	！	どとうの　パンチで	あいてを　なぐりつけて　こうげきする。	２ー５かいの　あいだ　れんぞくで　だす。	どとうの　パンチで	相手を　なぐりつけて　攻撃する。	２ー５回の　あいだ　連続で　だす。	ノーマル	シンプルダメージ	物理	18	85	15	0	5	2		0						029　２～５回連続で攻撃する			[選択]　通常ポケ										1	0	0	1	0	0	1	1						
メガトンパンチ	！	ちからを　こめた　パンチで	あいてを　こうげきする。		力を　こめた　パンチで	相手を　攻撃する。		ノーマル	シンプルダメージ	物理	80	85	20	0				0						000　普通攻撃			[選択]　通常ポケ										1	0	0	1	0	0	1	1	0	0	0	0		
ネコにこばん	！	あいての　からだに	こばんを　なげつけて　こうげきする。	せんとうの　あとで　おかねが　もらえる。	相手の　体に	小判を　投げつけて　攻撃する。	戦闘の　あとで　お金が　もらえる。	ノーマル	シンプルダメージ	物理	40	100	20	0				0						034　戦闘終了後に使用したポケモンのレベル×攻撃回数×5のお金が手に入る			[選択]　通常ポケ										0	0	0	1	0	0	1							
ほのおのパンチ	！	ほのおを　こめた　パンチで	あいてを　こうげきする。	やけど　じょうたいに　することが　ある。	炎を　こめた　パンチで	相手を　攻撃する。	やけど状態に　することが　ある。	炎	ダメージシック	物理	75	100	15	0			やけど	10	永続型					004　やけどの追加効果			[選択]　通常ポケ										1	0	0	1	0	0	1	1	0	0	0	0		
れいとうパンチ	！	れいきを　こめた　パンチで	あいてを　こうげきする。	こおり　じょうたいに　することが　ある。	冷気を　こめた　パンチで	相手を　攻撃する。	こおり状態に　することが　ある。	氷	ダメージシック	物理	75	100	15	0			こおり	10	永続型					005　こおりの追加効果			[選択]　通常ポケ										1	0	0	1	0	0	1	1	0	0	0	0		
かみなりパンチ	！	でんげきを　こめた　パンチで	あいてを　こうげきする。	まひ　じょうたいに　することが　ある。	電撃を　こめた　パンチで	相手を　攻撃する。	まひ状態に　することが　ある。	電気	ダメージシック	物理	75	100	15	0			まひ	10	永続型					006　まひの追加効果			[選択]　通常ポケ										1	0	0	1	0	0	1	1	0	0	0	0		
ひっかく	こうげき！	かたく　とがった　するどい　ツメで	あいてを　ひっかいて　こうげきする。		硬く　とがった　鋭い　ツメで	相手を　ひっかいて　攻撃する。		ノーマル	シンプルダメージ	物理	40	100	35	0				0						000　普通攻撃			[選択]　通常ポケ										1	0	0	1	0	0	1	0	0	0	0	0		
